exp_id,job_id,backend,archt,qubits,layers,parameters,depth,cnots,rhs,innerp,qae,qae_method,max_power,oracle_calls,iae_epsilon_target,iae_alpha,fae_delta,fae_rescale,new_shots,samples,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD,squared,relative,mem,mean,std,p=0,p=1,p=5,p=10,p=25,p=50,p=75,p=90,p=95,p=99,p=100
1c88f654-6e91-4114-8049-ed2e1f1d061c,['73d6e505-b4fb-4659-83ae-60c9789b8e87'],aer_simulator,linear,5,3,20,[137],[40],hn,HTest,False,mlae,3,1000,0.01,0.05,0.01,True,[1000],50,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False,False,False,False,0.024202258209542984,0.01628210037936602,0.000934304686983134,0.0012869090390573395,0.0022854071990567777,0.004950271985832038,0.01218712206493542,0.02156378600270395,0.03461952897639201,0.04798029077484133,0.05345415592322909,0.06258166720281809,0.06544622638830017
70dec0d9-e1c2-4b1c-90ee-aa633d972057,['8af52412-6577-4fd8-bcfd-5d41a61f3e0f'],aer_simulator,linear,5,3,20,"[137, 406, 675]","[40, 120, 200]",hn,HTest,True,mlae,3,3000,0.01,0.05,0.01,True,[1000],50,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False,False,False,False,0.004683617832122843,0.003307814561845486,0.0001559306908845981,0.00017646599440318252,0.0005714876343632839,0.0008065931513665595,0.0018422528921315006,0.004062833671993525,0.007203319520405782,0.0090427065936134,0.010645794704340301,0.011760290651077627,0.012294196436198668
c7e3fc25-2618-4375-8cca-c33406c659ee,"['4f25d148-2333-4915-b983-14b6add3634a', 'c1796164-4d33-464a-9e49-ecc26429673e']",aer_simulator,linear,5,3,20,"[137, 404, 671, 938]","[40, 121, 202, 283]",hn,HTest,True,fae,3,82392,0.01,0.05,0.01,True,"[10299, 5149]",50,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False,False,False,False,0.009849895401332359,0.00626321173030013,0.0008452052779840125,0.0010045430113894858,0.002034360224120046,0.0027167276615341187,0.00468417047178429,0.008586305784533434,0.01359179318318714,0.01942351151372213,0.020891490071525083,0.024885567772218196,0.026284316101791383
5dca634e-9caa-4569-a7f7-07424d2f7b5c,['a1615d4a-fa7e-4b97-b805-64833fd18d5f'],aer_simulator,linear,5,3,20,"[137, 406, 675, 944, 1213, 1482, 1751, 2020, 2289, 2558]","[40, 120, 200, 280, 360, 440, 520, 600, 680, 760]",hn,HTest,True,iae,10,8000,0.01,0.05,0.01,True,[1000],50,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False,False,False,False,0.0024810218142929798,0.0029130746392656503,6.875199122985398e-05,9.004785204144814e-05,0.00018373802635447358,0.0002145730164816971,0.0008189238134521104,0.0017044228395800137,0.003372676087897413,0.004946159230941586,0.006165752818103089,0.012873621611592077,0.019041253151860033
59ca3f48-b42a-412e-9c5f-ac1db090df1f,['d44bd8ff-369b-4857-bc8d-44d99786a801'],aer_simulator,linear,5,3,20,[14],[0],hn,Overlap,False,mlae,3,1000,0.01,0.05,0.01,True,[1000],50,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False,False,False,False,0.002629220383250007,0.003118283059593027,1.3413145761754966e-05,1.4091675594325503e-05,3.357615595186594e-05,5.3363280344900096e-05,0.0004763536918692623,0.0014327315546093552,0.0032083597419108895,0.006780812935969825,0.0083678451863431,0.012980588287880955,0.014923096386842555
88921836-526c-484f-9893-2682b74c8c0a,['1537fdee-83a4-4da5-b5e2-91f4e6fa57b9'],aer_simulator,linear,5,3,20,"[15, 49, 83]","[0, 0, 0]",hn,Overlap,True,mlae,3,3000,0.01,0.05,0.01,True,[1000],50,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False,False,False,False,0.0004659321716446584,0.000611439387338822,7.3464409651780115e-06,7.6125320533761306e-06,1.4036285403911581e-05,1.8411928591088646e-05,6.863045290547736e-05,0.00020654525446932228,0.0004673690657977629,0.0014922182457702867,0.0018317161612713645,0.00233722838250423,0.0025808039925942217
e0a2681f-9e07-498e-97d0-815a3a35f818,"['b2ef1331-6aef-4206-9044-cc71e3082478', 'ba7e920f-4da1-4e8e-8266-ee25051a9156']",aer_simulator,linear,5,3,20,"[15, 47, 79, 111]","[0, 0, 0, 0]",hn,Overlap,True,fae,3,82392,0.01,0.05,0.01,True,"[10299, 5149]",50,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False,False,False,False,0.004297010480906712,0.0025260230315728815,0.00019210503154848402,0.0002498245386179101,0.0003743560643546602,0.0008314590914990324,0.0027159211501537254,0.004323693689054395,0.006121125881482486,0.006356444361985936,0.007908738338062795,0.011410357192109668,0.01177716572121909
6bf1e9b6-0a2a-4bc4-9e2c-6b3eb22727d1,['e6fa551f-684e-4a80-a615-d61aba233b48'],aer_simulator,linear,5,3,20,"[15, 49, 83, 117, 151, 185, 219, 253, 287, 321]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",hn,Overlap,True,iae,10,9000,0.01,0.05,0.01,True,[1000],50,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False,False,False,False,0.00023661432166221852,0.00035446198249145894,9.687061106817066e-07,1.3555486637576022e-06,2.3589579750503954e-06,3.878976652039185e-06,1.7607567537125825e-05,7.578751622737434e-05,0.00030609340348878547,0.0006967841002568671,0.0008354222800699535,0.0015470677291649392,0.0015950880461036085
d13a0297-bee6-4c41-885c-c6bc28e77fe9,['bb915be9-395c-4079-8117-c6a9a052dc2b'],aer_simulator,linear,5,3,20,"[137, 406, 675, 944, 1213, 1482, 1751, 2020, 2289, 2558]","[40, 120, 200, 280, 360, 440, 520, 600, 680, 760]",hn,HTest,True,iae,10,"[2000, 3000, 7000, 5000, 4000, 7000, 3000, 4000, 6000, 5000, 3000, 4000, 8000, 6000, 7000, 5000, 3000, 4000, 7000, 4000, 8000, 8000, 4000, 8000, 5000, 7000, 5000, 7000, 3000, 7000, 3000, 7000, 5000, 6000, 7000, 4000, 5000, 7000, 4000, 4000, 3000, 5000, 2000, 6000, 5000, 7000, 7000, 5000, 4000, 3000]",0.01,0.05,0.01,True,[1000],50,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False,False,False,False,0.0021363516825714953,0.002055744013178134,1.2865735451922378e-05,1.3809793375087753e-05,7.454010550012048e-05,0.0001458006027749023,0.0004650098294932681,0.0015587785133941191,0.003277527864814129,0.004765888149225878,0.006081262439555033,0.008124335839303042,0.008921096341783508
9826648f-cbaf-4a4d-b432-f5818e484bb4,['659b65da-9ba5-49d4-8e2a-a7f7823a46cc'],aer_simulator,linear,5,3,20,"[137, 406, 675, 944, 1213, 1482, 1751, 2020, 2289, 2558]","[40, 120, 200, 280, 360, 440, 520, 600, 680, 760]",hn,HTest,True,iae,10,"[2000, 4000, 7000, 8000, 6000, 3000, 5000, 5000, 5000, 3000, 3000, 6000, 7000, 4000, 6000, 2000, 2000, 5000, 4000, 2000, 6000, 5000, 8000, 8000, 5000, 4000, 5000, 4000, 3000, 7000, 4000, 6000, 6000, 6000, 6000, 4000, 3000, 6000, 2000, 4000, 2000, 7000, 2000, 8000, 4000, 6000, 7000, 3000, 4000, 5000]",0.01,0.05,0.01,True,[1000],50,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False,False,False,False,0.003069282402156951,0.002624290318691958,0.00018366711094598698,0.00019676592368039688,0.00027509636767333455,0.00045965442072264665,0.0011618828082637835,0.002447266468577486,0.00429645811052839,0.0071603145981223824,0.007925324604880612,0.010423114974303883,0.012464709534463395
2c463941-3afc-45c0-9ec8-4f0db3c6c27c,['08ce7c68-42cb-439a-8728-2649d3a1e4a1'],aer_simulator,linear,5,3,20,"[137, 406, 675, 944, 1213, 1482, 1751, 2020, 2289, 2558]","[40, 120, 200, 280, 360, 440, 520, 600, 680, 760]",hn,HTest,True,iae,10,"[3000, 4000, 4000, 4000, 6000, 7000, 8000, 4000, 6000, 8000, 8000, 3000, 6000, 4000, 2000, 3000, 3000, 6000, 3000, 4000, 5000, 4000, 6000, 8000, 5000, 5000, 5000, 5000, 3000, 7000, 5000, 6000, 6000, 5000, 6000, 5000, 6000, 6000, 4000, 4000, 3000, 5000, 7000, 8000, 6000, 6000, 7000, 6000, 4000, 5000]",0.01,0.05,0.01,True,[1000],50,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False,False,False,False,0.0022450826493948545,0.002334810285126252,2.0014580210087063e-05,6.631970225329131e-05,0.00020855786111385666,0.0003314062756736243,0.0006206064624465733,0.0017080062614280647,0.003087643618149862,0.004107219590895359,0.005386774336465624,0.010719056674904713,0.014353475833692009
f5e2ad6a-d70c-4ce2-9be3-472a59d6d910,['62b4c1fa237e871538132491'],ibmq_ehningen,linear,5,3,20,[632],[225],hn,HTest,False,mlae,3,[1000],0.01,0.05,0.01,True,[1000],50,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False,False,False,False,0.11406963565436673,0.10483976449704929,0.00021123805197004186,0.0026768453053231164,0.011426328995959913,0.014764673064997522,0.03470215744200653,0.07323073925854018,0.15794556171651533,0.277333159758239,0.32938167225718007,0.39912901446193694,0.43306569531301686
108624fe-e91d-4fc0-919c-1bc4edf68e2e,['62b4c255f5e8eaa4f4a2e046'],ibmq_ehningen,linear,5,3,20,"[632, 2026, 3412]","[225, 874, 1525]",hn,HTest,True,mlae,3,"[3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000]",0.01,0.05,0.01,True,[1000],50,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False,False,False,False,0.10711510549413311,0.10629738660159696,0.0009269505980172704,0.001882435383170015,0.005561644708780572,0.011041824276418772,0.036543049730872336,0.06743136282551088,0.14174652138643073,0.2646426981774247,0.34643352165128544,0.38385014735076156,0.3893301819518128
26d4ad56-a4b6-4613-8b90-f93bc36f5635,['62b4c28cf5e8ea2258a2e047'],ibmq_ehningen,linear,5,3,20,[42],[12],hn,Overlap,False,mlae,3,[1000],0.01,0.05,0.01,True,[1000],50,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False,False,False,False,0.01476523560787474,0.016773339661711618,0.0005567203391341619,0.0006857018713287976,0.001465466794560607,0.0019050314435951486,0.0037734641823437554,0.009778411146350384,0.02001098492000785,0.03155815478851029,0.04727705994684142,0.07461392118340426,0.07993380080971986
a647ca53-501a-4d42-a769-17e6ff0de258,['62b4c2a2f5e8ea6eaaa2e048'],ibmq_ehningen,linear,5,3,20,"[43, 465, 855]","[12, 212, 396]",hn,Overlap,True,mlae,3,"[3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000]",0.01,0.05,0.01,True,[1000],50,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False,False,False,False,0.021548288135635738,0.03787874380059518,0.00011295841355680623,0.0001697048943187752,0.0005456041754524378,0.000795302199436452,0.0018350871477921821,0.002535690865819465,0.017404578026629272,0.06699148184590309,0.12045591140631891,0.14047418147310411,0.15284636055120931
1cf32efa-2a1f-4944-a92d-01d98b85e0aa,"['62b4cc8870abc2284ab1d805', '62b4cc90f5e8ea64a0a2e055']",ibmq_ehningen,linear,5,3,20,"[651, 2461]","[220, 1246]",hn,HTest,True,fae,2,"[30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897]",0.01,0.05,0.01,True,"[10299, 5149]",50,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False,False,False,False,0.20936554994062015,0.12863340821039318,0.005470920595958606,0.00793624875204431,0.05079580136811143,0.08474517654781137,0.1181920598323432,0.18548170674899384,0.2536482101551562,0.3983870517513341,0.48642544444431485,0.5426961116281794,0.5501432162633779
118b2645-4bb0-4ed5-9607-2c2a1d014107,"['62b4ccc270abc27097b1d806', '62b4cccff5e8eac552a2e057']",ibmq_ehningen,linear,5,3,20,"[43, 659, 1225, 1776]","[12, 533, 1015, 1491]",hn,Overlap,True,fae,3,"[82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392]",0.01,0.05,0.01,True,"[10299, 5149]",50,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False,False,False,False,0.022265472968274403,0.03449020014542726,0.00022411072819060983,0.00027583306982209566,0.0013660784358779088,0.003405636150833746,0.005317108921781226,0.008428532529487288,0.010918025235846167,0.060484526059695225,0.1144035172939817,0.13417122535405343,0.14618888670744634
04d01f5c-ad2b-4845-b260-a27a969b4531,['62b4ce4e237e87ec4413249f'],ibmq_ehningen,linear,5,3,20,"[43, 465, 855, 1186, 1537]","[12, 212, 396, 625, 822]",hn,Overlap,True,iae,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.1,0.05,0.01,True,[1000],50,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False,False,False,False,0.015403800687822454,0.02175923244842853,0.0003411753282734978,0.0003681600914363942,0.0007568707539072274,0.0010300105310625334,0.0023605540670671296,0.006141080246059788,0.01833460873074936,0.034974362376538656,0.07193444627599949,0.0872343520991742,0.09518046065751942
100fb769-6bef-472f-9290-179049a0e82c,['62b4cec14368cc753dcf01fd'],ibmq_ehningen,linear,5,3,20,"[632, 2026, 3412, 4818, 6208]","[225, 874, 1525, 2180, 2829]",hn,HTest,True,iae,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.1,0.05,0.01,True,[1000],50,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False,False,False,False,0.12960661687521993,0.11902802920382402,0.0028658176159048337,0.005094041923983357,0.012464293866077877,0.014591619036023988,0.04671350447281038,0.09622102569360333,0.14451992337498615,0.3366691850387493,0.40783948047483093,0.43381399872623083,0.434896877947091
f5e2ad6a-d70c-4ce2-9be3-472a59d6d910,['62b4c1fa237e871538132491'],ibmq_ehningen,linear,5,3,20,[632],[225],hn,HTest,False,mlae,3,[1000],0.01,0.05,0.01,True,[1000],50,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False,False,True,False,1.638247447667436,1.6511019498658195,0.004777926637605865,0.11938658375290662,0.3752105603207905,0.5909731731882104,0.8585362204559229,1.0974760165716535,1.5847897353697784,3.7995608101827383,4.839190268036136,7.89463716725768,8.099177352512392
108624fe-e91d-4fc0-919c-1bc4edf68e2e,['62b4c255f5e8eaa4f4a2e046'],ibmq_ehningen,linear,5,3,20,"[632, 2026, 3412]","[225, 874, 1525]",hn,HTest,True,mlae,3,"[3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000]",0.01,0.05,0.01,True,[1000],50,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False,False,True,False,1.024812843601131,0.326625568906046,0.1547606129616992,0.4441416858616012,0.815910560880062,0.8768258683242683,0.9476909107636239,0.9915621997984462,1.036178181947847,1.0981225268301762,1.3505844304854446,2.255735690792351,2.9613564805214128
26d4ad56-a4b6-4613-8b90-f93bc36f5635,['62b4c28cf5e8ea2258a2e047'],ibmq_ehningen,linear,5,3,20,[42],[12],hn,Overlap,False,mlae,3,[1000],0.01,0.05,0.01,True,[1000],50,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False,False,True,False,73.69434159114087,218.07871055957264,0.011734440433159585,0.012055495149983674,0.018887753143712344,0.08881683943645749,0.37148335443197983,1.8961899425895354,9.69562440902547,272.0992443831367,370.82910795829696,1038.7359958399766,1207.473995851978
a647ca53-501a-4d42-a769-17e6ff0de258,['62b4c2a2f5e8ea6eaaa2e048'],ibmq_ehningen,linear,5,3,20,"[43, 465, 855]","[12, 212, 396]",hn,Overlap,True,mlae,3,"[3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000]",0.01,0.05,0.01,True,[1000],50,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False,False,True,False,11.957124975870975,32.98051945627489,0.05779007139006755,0.09236987454077697,0.3932281822335545,0.4324024420518791,0.5533683039246216,0.879517267360705,0.9781597406079212,38.59860451614502,59.357207610589676,155.38099350510902,185.7821932346061
1cf32efa-2a1f-4944-a92d-01d98b85e0aa,"['62b4cc8870abc2284ab1d805', '62b4cc90f5e8ea64a0a2e055']",ibmq_ehningen,linear,5,3,20,"[651, 2461]","[220, 1246]",hn,HTest,True,fae,2,"[30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897, 30897]",0.01,0.05,0.01,True,"[10299, 5149]",50,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False,False,True,False,6.498136068325145,9.4541196944801,0.039909267408216015,0.05665766100079143,0.28971436478713386,0.5124465644090248,1.4873598315956391,2.7034073822457296,4.736138382451944,21.477542883105578,25.413535289572373,38.895390840792636,41.208436397502425
118b2645-4bb0-4ed5-9607-2c2a1d014107,"['62b4ccc270abc27097b1d806', '62b4cccff5e8eac552a2e057']",ibmq_ehningen,linear,5,3,20,"[43, 659, 1225, 1776]","[12, 533, 1015, 1491]",hn,Overlap,True,fae,3,"[82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392, 82392]",0.01,0.05,0.01,True,"[10299, 5149]",50,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False,False,True,False,56.84596502384824,155.05638647324898,0.02441622841568833,0.029266886287469318,0.14187696299118288,0.31860684571897013,0.7878812130757036,1.124132543539702,6.647362094660476,191.8837451744462,288.74976182145946,729.79473321697,817.2337654300136
04d01f5c-ad2b-4845-b260-a27a969b4531,['62b4ce4e237e87ec4413249f'],ibmq_ehningen,linear,5,3,20,"[43, 465, 855, 1186, 1537]","[12, 212, 396, 625, 822]",hn,Overlap,True,iae,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.1,0.05,0.01,True,[1000],50,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False,False,True,False,40.618554941689716,170.36311989041693,0.018155336657640308,0.05810433199161617,0.11876862415511509,0.140444962691168,0.48192917758047854,0.9312476382215151,5.091110269451118,69.10886564082591,142.04829069412574,692.4498405017036,1203.6581057338567
100fb769-6bef-472f-9290-179049a0e82c,['62b4cec14368cc753dcf01fd'],ibmq_ehningen,linear,5,3,20,"[632, 2026, 3412, 4818, 6208]","[225, 874, 1525, 2180, 2829]",hn,HTest,True,iae,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.1,0.05,0.01,True,[1000],50,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False,False,True,False,2.463563269525646,3.304120636860573,0.04559365246131729,0.1049494445811738,0.21877158343051117,0.3139854862996714,0.7686018385518658,1.3608068101258015,2.133378959646278,6.427848658193136,10.03655043264757,14.33358496171321,17.04925257903537
04d01f5c-ad2b-4845-b260-a27a969b4531,['62b4ce4e237e87ec4413249f'],ibmq_ehningen,linear,5,3,20,"[43, 465, 855, 1186, 1537]","[12, 212, 396, 625, 822]",hn,Overlap,True,iae,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.05,0.05,0.01,True,[1000],50,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False,False,True,False,41.507996463972574,172.3252907092544,0.027049465377754517,0.06891300304969455,0.11866666891826523,0.14131675693454324,0.47919004358560935,0.9670340369333716,5.191689854952034,71.57174614614449,145.26854394168447,703.5925371946529,1216.2132948732228
100fb769-6bef-472f-9290-179049a0e82c,['62b4cec14368cc753dcf01fd'],ibmq_ehningen,linear,5,3,20,"[632, 2026, 3412, 4818, 6208]","[225, 874, 1525, 2180, 2829]",hn,HTest,True,iae,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.05,0.05,0.01,True,[1000],50,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False,False,True,False,2.462926842457107,3.3029567874247614,0.045236570309626946,0.1049067729214726,0.21873102273855302,0.3135367414819006,0.7681686017559377,1.3606835911259085,2.1329918961060557,6.42592665718041,10.033157001756239,14.32869673488429,17.043771588077245
